user_id,location,age,gender,interests,existing_communities,active_since
U043,"Chicago, IL",39,Non-binary,"['Dancing', 'HIIT Training', 'Hatha Yoga', 'Pranayama', 'SoulCycle', 'Tai Chi']","['Community Yoga Group', 'SoulCycle Community']",2025-11-24
U044,"Hoboken, NJ",34,Male,"['Dancing', 'Hiking', 'Journaling', 'Strength Training']","['None yet', 'Online Spiritual Community']",2024-12-08
U045,"Denver, CO",42,Female,"['Bhakti Marga', 'Book Club', 'Catholic Church', 'Kindness Practice', 'Scriptural Study', 'Somatic Healing']","['Local Church Community', 'Spiritual Book Club']",2025-05-08
U046,"Los Angeles, CA",33,Male,"['Dancing', 'Devotional Music', 'Life Coaching', 'Religious Teachings', 'Silence (Mouna)', 'Sivananda', 'Vipassana']","['Sivananda Center', 'Vipassana Group', 'Wellness Meetup']",2025-02-25
U047,"Denver, CO",22,Male,"['Cycling', 'Individual Therapy', 'Scriptural Study', 'Vision Boarding']","['Community Yoga Group', 'Spiritual Book Club']",2024-06-10
U048,"San Francisco, CA",41,Non-binary,"['Acupuncture', 'Gratitude Circles', 'Hatha Yoga', 'Life Coaching', 'Pranayama', 'Selfless Service', 'Silence (Mouna)', 'Walking Meditation', 'Zen Buddhism']",['None yet'],2024-02-03
U049,"New York, NY",50,Male,"['Forgiveness', 'Hatha Yoga', 'Hot Yoga', 'Jogging', 'Spiritual Talks']",['CorePower Yoga'],2025-10-31
U050,"Queens, NY",56,Female,"['Catholic Church', 'Hatha Yoga', 'Life Coaching', 'Pranayama', 'Scriptural Study', 'Selfless Service']","['Local Church Community', 'Spiritual Book Club']",2026-03-16
U051,"Miami, FL",57,Non-binary,"['HIIT Training', 'Pranayama', 'Qi Gong', 'Swimming']","['None yet', 'Retreat Alumni Group']",2024-12-31
U052,"Queens, NY",39,Male,"['Forgiveness', 'Jogging', 'Kindness Practice', 'Vision Boarding']",['Community Yoga Group'],2025-05-23
U053,"Austin, TX",20,Male,"['Breathwork', 'Fasting', 'Life Coaching', 'Qi Gong', 'Reiki']","['Energy Healing Circle', 'Wellness Meetup']",2025-02-12
U054,"Chicago, IL",25,Male,"['Catholic Church', 'Kundalini Yoga', 'Pranayama', 'Religious Teachings']","['Kundalini Collective', 'Local Church Community', 'Wellness Meetup']",2024-10-03
U055,"Brooklyn, NY",28,Non-binary,"['Art of Living', 'Book Club', 'Somatic Healing', 'Tea Meditation', 'Yoga Nidra']","['Art of Living', 'Wellness Meetup', 'Yoga Studio Community']",2026-03-07
U056,"Los Angeles, CA",47,Non-binary,"['Bhakti', 'Book Club', 'Kindness Practice', 'Strength Training']",['Bhakti Center NYC'],2025-12-25
U057,"Los Angeles, CA",35,Non-binary,"['Art of Living', 'Chinmaya Mission', 'Kindness Practice', 'Religious Teachings', 'Scriptural Study']","['Art of Living', 'Chinmaya Mission', 'Community Yoga Group', 'Spiritual Book Club']",2025-08-28
U058,"Chicago, IL",52,Female,"['Art of Living', 'Forgiveness', 'Kirtan', 'Life Coaching', 'Mystical Experiences', 'Nutrition', 'Reflexology', 'Selfless Service', 'Strength Training']","['Art of Living', 'Kirtan Circle']",2023-11-28
U059,"Hoboken, NJ",56,Non-binary,"['Ayurveda', 'Book Club', 'Breathwork', 'Group Therapy', 'HIIT Training', 'Kundalini Yoga', 'Vipassana', 'Vision Boarding']","['Ayurveda Wellness Circle', 'Kundalini Collective', 'Vipassana Group', 'Wellness Meetup']",2024-03-05
U060,"Boston, MA",55,Female,"['Catholic Church', 'Devotional Music', 'Individual Therapy', 'Mystical Experiences']","['Local Church Community', 'Retreat Alumni Group']",2026-01-10
U061,"San Francisco, CA",31,Male,"['Art of Living', 'Forgiveness', 'Hatha Yoga', 'Meditation', 'Qi Gong', 'Self Realization', 'Somatic Healing', 'Tai Chi']","['Art of Living', 'Community Yoga Group', 'Zen Community']",2023-12-25
U062,"Brooklyn, NY",53,Male,"['Ayurveda', 'Kindness Practice', 'Kundalini Yoga', 'Mantra Meditation', 'Mental Toughness', 'Pranayama', 'Strength Training', 'Vision Boarding', 'Walking Meditation']","['Ayurveda Wellness Circle', 'Kundalini Collective']",2024-09-24
U063,"Hoboken, NJ",27,Male,"['Book Club', 'Mental Toughness', 'Spiritual Talks', 'Tea Meditation', 'Yoga Nidra']",['Yoga Studio Community'],2024-12-11
U064,"Miami, FL",43,Non-binary,"['Fasting', 'Forgiveness', 'HIIT Training', 'Hot Yoga', 'Selfless Service', 'Volunteering']","['Community Service Group', 'CorePower Yoga', 'Online Spiritual Community']",2025-06-03
U065,"Hoboken, NJ",39,Female,"['Ashrams', 'Barry’s', 'Bhakti', 'Hiking', 'Strength Training', 'Worship']","['Barry’s Fitness Group', 'Bhakti Center NYC', 'Online Spiritual Community']",2026-02-13
U066,"Hoboken, NJ",32,Male,"['Hiking', 'Mystical Experiences', 'Reiki', 'Selfless Service', 'Walking Meditation', 'Worship']","['Community Yoga Group', 'Energy Healing Circle']",2025-02-26
U067,"Portland, OR",40,Male,"['Ashtanga Yoga', 'Chinmaya Mission', 'Self Realization', 'Sleep Optimization', 'Tai Chi', 'Worship']","['Ashtanga Community', 'Chinmaya Mission', 'Online Spiritual Community']",2024-12-30
U068,"Hoboken, NJ",52,Non-binary,"['Ashtanga Yoga', 'Chinmaya Mission', 'Devotional Music', 'Qi Gong']","['Ashtanga Community', 'Chinmaya Mission', 'None yet']",2026-04-24
U069,"Queens, NY",25,Male,"['Devotional Music', 'Pranayama', 'Sivananda']",['Sivananda Center'],2025-04-24
U070,"San Francisco, CA",56,Female,"['Acupuncture', 'Art of Living', 'Barry’s', 'Reflexology']","['Art of Living', 'Barry’s Fitness Group']",2024-05-13
U071,"New York, NY",49,Non-binary,"['Qi Gong', 'Silence (Mouna)', 'Sleep Optimization', 'Tai Chi']",['Online Spiritual Community'],2024-01-01
U072,"Seattle, WA",53,Non-binary,"['Jogging', 'Journaling', 'Sound Meditation', 'Walking Meditation', 'Zen Buddhism']","['None yet', 'Retreat Alumni Group']",2024-02-23
U073,"Boston, MA",23,Non-binary,"['Ashtanga Yoga', 'Kirtan', 'Mental Toughness', 'Selfless Service', 'Sleep Optimization', 'Somatic Healing', 'Sound Meditation', 'Spiritual Talks', 'Volunteering']","['Ashtanga Community', 'Community Service Group', 'Kirtan Circle', 'Wellness Meetup']",2025-07-16
U074,"Denver, CO",35,Non-binary,"['Book Club', 'Devotional Music', 'Journaling', 'Mental Toughness', 'Scriptural Study', 'Zen Buddhism']","['Online Spiritual Community', 'Spiritual Book Club']",2023-12-14
U075,"Los Angeles, CA",46,Male,"['Devotional Music', 'Journaling', 'Life Coaching', 'Reiki', 'Religious Teachings', 'Tai Chi', 'Worship']",['Energy Healing Circle'],2025-10-21
U076,"New York, NY",35,Male,"['Breathwork', 'Forgiveness', 'Hatha Yoga', 'Scriptural Study', 'Sleep Optimization']","['Breathwork Collective', 'Community Yoga Group', 'Spiritual Book Club']",2025-02-26
U077,"Austin, TX",25,Female,"['Barre', 'Bhakti Marga', 'Hot Yoga', 'Reflexology', 'Self Realization', 'Tea Meditation']","['CorePower Yoga', 'None yet']",2024-06-11
U078,"Portland, OR",45,Female,"['Breathwork', 'Life Coaching', 'Pranayama', 'Spiritual Talks', 'Tai Chi', 'Vision Boarding']",['Wellness Meetup'],2024-06-08
U079,"Austin, TX",39,Male,"['Barre', 'Individual Therapy', 'Kundalini Yoga', 'Somatic Healing', 'Vipassana']","['Kundalini Collective', 'Vipassana Group']",2025-09-26
U080,"Los Angeles, CA",37,Non-binary,"['Book Club', 'Kindness Practice', 'Pranayama', 'Spiritual Talks']",['Wellness Meetup'],2025-11-29
U081,"Miami, FL",43,Female,"['Chinmaya Mission', 'Conscious Parenting', 'Kirtan', 'Vipassana', 'Worship']","['Chinmaya Mission', 'Kirtan Circle', 'Vipassana Group']",2026-03-08
U082,"Hoboken, NJ",29,Non-binary,"['Ashtanga Yoga', 'Fasting', 'Forgiveness', 'Jogging', 'Reflexology', 'Reiki', 'Selfless Service', 'Tai Chi']","['Ashtanga Community', 'Energy Healing Circle', 'Online Spiritual Community']",2025-01-08
U083,"Jersey City, NJ",54,Non-binary,"['Bhakti Marga', 'Gratitude Circles', 'Kundalini Yoga', 'Mystical Experiences', 'Qi Gong', 'Reiki', 'Worship']","['Energy Healing Circle', 'Kundalini Collective', 'None yet']",2026-04-05
U084,"Seattle, WA",50,Non-binary,"['Ashtanga Yoga', 'Breathwork', 'Chinmaya Mission', 'Jogging']","['Ashtanga Community', 'Chinmaya Mission', 'Wellness Meetup']",2024-06-09
U085,"Austin, TX",37,Female,"['Conscious Parenting', 'Fasting', 'Individual Therapy', 'Mantra Meditation', 'Reiki', 'Selfless Service', 'Sound Meditation', 'Strength Training', 'Tai Chi']",['Energy Healing Circle'],2024-05-25
U086,"Boston, MA",36,Non-binary,"['Ashtanga Yoga', 'Breathwork', 'Qi Gong', 'Silence (Mouna)', 'Tea Meditation', 'Vision Boarding']","['Ashtanga Community', 'Breathwork Collective']",2024-03-03
U087,"Brooklyn, NY",21,Female,"['Breathwork', 'Fasting', 'Pranayama', 'Selfless Service', 'Spiritual Talks']","['Community Yoga Group', 'Wellness Meetup']",2025-06-02
U088,"Seattle, WA",23,Non-binary,"['Breathwork', 'Chinmaya Mission', 'Kirtan', 'Mental Toughness', 'Self Realization', 'Tai Chi', 'Tea Meditation']","['Chinmaya Mission', 'Kirtan Circle', 'Online Spiritual Community', 'Wellness Meetup']",2026-04-19
U089,"Queens, NY",58,Female,"['Ashrams', 'Boxing', 'Forgiveness', 'Walking Meditation', 'Worship']","['Community Yoga Group', 'Retreat Alumni Group']",2024-06-28
U090,"Hoboken, NJ",45,Non-binary,"['Barry’s', 'Bhakti', 'Conscious Parenting', 'Forgiveness', 'Group Therapy', 'HIIT Training', 'Individual Therapy', 'Self Realization', 'Selfless Service', 'Walking Meditation']","['Barry’s Fitness Group', 'Bhakti Center NYC']",2024-04-12
U091,"Hoboken, NJ",43,Male,"['Conscious Parenting', 'Forgiveness', 'Journaling', 'Mystical Experiences', 'Religious Teachings', 'Transcendental Meditation']",['Retreat Alumni Group'],2025-11-25
U092,"Austin, TX",52,Non-binary,"['Brahma Kumaris', 'Reflexology']","['Brahma Kumaris', 'None yet']",2026-04-06
U093,"Los Angeles, CA",33,Non-binary,"['Acupuncture', 'Barre', 'Breathwork', 'Fasting', 'Forgiveness', 'Hatha Yoga', 'Kindness Practice']",['Breathwork Collective'],2025-01-04
U094,"San Francisco, CA",36,Non-binary,"['Boxing', 'Cycling', 'Forgiveness', 'Journaling', 'Kundalini Yoga', 'Life Coaching', 'Selfless Service', 'Sound Meditation', 'Transcendental Meditation', 'Walking Meditation']","['Kundalini Collective', 'Retreat Alumni Group']",2023-12-20
U095,"Denver, CO",27,Male,"['Bhakti Marga', 'Chinmaya Mission', 'Reflexology']",['Chinmaya Mission'],2026-03-02
U096,"Jersey City, NJ",29,Male,"['Art of Living', 'Barry’s', 'Devotional Music', 'Fasting', 'Kundalini Yoga', 'Religious Teachings', 'Selfless Service', 'Vinyasa Yoga', 'Vision Boarding']","['Art of Living', 'Barry’s Fitness Group', 'Kundalini Collective', 'Yoga Studio Community']",2024-04-04
U097,"Hoboken, NJ",43,Non-binary,"['Acupuncture', 'Fasting', 'Hiking', 'Transcendental Meditation', 'Vision Boarding', 'Yoga Nidra']",['Yoga Studio Community'],2024-04-04
U098,"Denver, CO",32,Male,"['Boxing', 'Cycling', 'HIIT Training', 'Somatic Healing', 'Vipassana']","['Community Yoga Group', 'Vipassana Group']",2026-02-04
U099,"Queens, NY",54,Female,"['Bhakti', 'Brahma Kumaris', 'Chinmaya Mission', 'Selfless Service', 'Swimming', 'Tai Chi', 'Volunteering']","['Bhakti Center NYC', 'Brahma Kumaris', 'Chinmaya Mission', 'Community Service Group']",2024-09-13
U100,"New York, NY",53,Male,"['Conscious Parenting', 'Kirtan']",['Kirtan Circle'],2025-11-23
U101,"Boston, MA",29,Female,"['Bhakti', 'Book Club', 'Kindness Practice', 'Mental Toughness', 'Sound Meditation', 'Tea Meditation', 'Vision Boarding']","['Bhakti Marga', 'Community Yoga Group']",2025-04-02
U102,"Miami, FL",31,Female,"['Ashtanga Yoga', 'Book Club', 'Breathwork', 'Silence (Mouna)', 'Sivananda', 'Sound Meditation', 'Spiritual Talks']","['Ashtanga Community', 'Breathwork Collective', 'Sivananda Center']",2024-04-30
U103,"San Francisco, CA",26,Male,"['Ayurveda', 'Bhakti', 'Bhakti Marga', 'Cycling', 'Sleep Optimization', 'Tai Chi']","['Ayurveda Wellness Circle', 'Bhakti Center NYC']",2024-09-24
U104,"San Francisco, CA",31,Male,"['Ashrams', 'Mystical Experiences', 'Religious Teachings', 'Walking Meditation']",['Wellness Meetup'],2024-09-25
U105,"Boston, MA",42,Male,"['Fasting', 'Group Therapy', 'Jogging', 'Vinyasa Yoga']",['Yoga Studio Community'],2025-06-04
U106,"San Francisco, CA",58,Non-binary,"['Dancing', 'Forgiveness', 'Swimming', 'Volunteering']",['Community Service Group'],2023-12-03
U107,"New York, NY",28,Male,"['Ashrams', 'Ashtanga Yoga', 'Barry’s', 'Breathwork', 'Conscious Parenting', 'Fasting', 'Life Coaching', 'Mystical Experiences', 'Scriptural Study', 'Sleep Optimization', 'Worship']","['Ashtanga Community', 'Barry’s Fitness Group', 'Breathwork Collective', 'Spiritual Book Club']",2026-01-25
U108,"Los Angeles, CA",36,Non-binary,"['Devotional Music', 'Group Therapy', 'Self Realization']",['Community Yoga Group'],2025-05-03
U109,"Chicago, IL",48,Male,"['Qi Gong', 'Selfless Service', 'Volunteering']","['Community Service Group', 'Online Spiritual Community']",2026-03-25
U110,"Los Angeles, CA",22,Male,"['Catholic Church', 'Cycling', 'Strength Training']",['Local Church Community'],2024-02-29
U111,"Chicago, IL",47,Male,"['Nutrition', 'Reiki', 'Sleep Optimization', 'SolidCore', 'Tai Chi', 'Vinyasa Yoga', 'Volunteering']","['Community Service Group', 'Energy Healing Circle', 'Yoga Studio Community']",2024-08-12
U112,"Brooklyn, NY",36,Male,"['Acupuncture', 'Catholic Church', 'Hatha Yoga', 'Meditation', 'Mental Toughness', 'Somatic Healing']","['Local Church Community', 'Wellness Meetup', 'Zen Community']",2025-10-09
U113,"Jersey City, NJ",47,Male,"['Sivananda', 'Transcendental Meditation', 'Vipassana']","['Sivananda Center', 'Vipassana Group']",2025-04-02
U114,"Portland, OR",38,Female,"['Dancing', 'Hot Yoga', 'Mantra Meditation', 'Silence (Mouna)', 'Sound Meditation', 'Walking Meditation']","['CorePower Yoga', 'Online Spiritual Community']",2024-12-01
U115,"Boston, MA",48,Non-binary,"['Book Club', 'Breathwork', 'Conscious Parenting', 'Pranayama']",['Wellness Meetup'],2025-09-19
U116,"Brooklyn, NY",49,Female,"['Acupuncture', 'Catholic Church', 'Dancing', 'Journaling', 'Mantra Meditation', 'Pranayama', 'Self Realization', 'Zen Buddhism']",['Local Church Community'],2023-11-17
U117,"Chicago, IL",40,Male,"['Ashrams', 'Hiking', 'SolidCore', 'Walking Meditation', 'Yoga Nidra']",['Yoga Studio Community'],2023-11-22
U118,"Los Angeles, CA",29,Non-binary,"['Ashtanga Yoga', 'Book Club', 'Kundalini Yoga', 'Mental Toughness', 'Scriptural Study', 'Somatic Healing', 'Spiritual Talks', 'Transcendental Meditation']","['Ashtanga Community', 'Kundalini Collective', 'None yet', 'Spiritual Book Club']",2026-01-14
U119,"Denver, CO",26,Male,"['Ayurveda', 'Conscious Parenting', 'Meditation', 'Qi Gong', 'Scriptural Study', 'Sleep Optimization', 'Vipassana']","['Ayurveda Wellness Circle', 'Meditation Sangha', 'Spiritual Book Club', 'Vipassana Group']",2025-04-05
U120,"Brooklyn, NY",49,Female,"['Ashrams', 'Barry’s', 'Bhakti', 'Mental Toughness', 'Reiki']","['Barry’s Fitness Group', 'Bhakti Center NYC', 'Energy Healing Circle']",2025-04-21
U121,"Miami, FL",44,Female,"['Scriptural Study', 'Strength Training', 'Volunteering']","['Community Service Group', 'Spiritual Book Club']",2025-03-20
U122,"Austin, TX",33,Non-binary,"['Acupuncture', 'Hatha Yoga', 'Kundalini Yoga', 'Qi Gong', 'Self Realization', 'Worship']",['Kundalini Collective'],2025-03-27
U123,"Brooklyn, NY",47,Male,"['Selfless Service', 'Spiritual Talks', 'Yoga Nidra']","['Online Spiritual Community', 'Yoga Studio Community']",2024-10-07
U124,"Miami, FL",43,Female,"['Ashtanga Yoga', 'Bhakti Marga', 'Cycling', 'Jogging', 'Mystical Experiences', 'Pilates', 'Qi Gong']","['Ashtanga Community', 'Pilates Studio']",2024-06-23
U125,"Portland, OR",39,Female,"['Art of Living', 'Ayurveda', 'Barre', 'Mental Toughness', 'Religious Teachings', 'Scriptural Study', 'Transcendental Meditation', 'Yoga Nidra']","['Art of Living', 'Ayurveda Wellness Circle', 'Community Yoga Group', 'Spiritual Book Club', 'Yoga Studio Community']",2023-12-25
U126,"Jersey City, NJ",56,Non-binary,"['Breathwork', 'Kundalini Yoga', 'Mantra Meditation', 'Pranayama', 'Tea Meditation']","['Breathwork Collective', 'Kundalini Collective', 'Retreat Alumni Group']",2026-03-01
U127,"Austin, TX",23,Male,"['Gratitude Circles', 'Kundalini Yoga', 'Pranayama', 'Reflexology', 'Tai Chi']",['Kundalini Collective'],2024-10-14
