conversation_id,user_a_id,user_b_id,conversation_text,avg_response_times_minutes,message_count_a,message_count_b,conversation_days,avg_message_length,last_response_hours_ago,status
C0011,U192,U165,"[{""speaker"": ""A"", ""message"": ""What kind of practices are helping you lately?""}, {""speaker"": ""B"", ""message"": ""Trying to get back into meditation.""}, {""speaker"": ""A"", ""message"": ""I\u2019ve had a busy week.""}, {""speaker"": ""B"", ""message"": ""That makes sense.""}]",3588.4,2,2,8,5.5,149,stalled
C0012,U050,U118,"[{""speaker"": ""A"", ""message"": ""Any plans this weekend?""}, {""speaker"": ""B"", ""message"": ""How\u2019s your week going?""}, {""speaker"": ""A"", ""message"": ""How\u2019s your week going?""}, {""speaker"": ""B"", ""message"": ""Pretty good""}, {""speaker"": ""A"", ""message"": ""Love that""}, {""speaker"": ""B"", ""message"": ""How\u2019s your week going?""}, {""speaker"": ""A"", ""message"": ""Love that""}, {""speaker"": ""B"", ""message"": ""Not really haha""}, {""speaker"": ""A"", ""message"": ""Hey haha""}, {""speaker"": ""B"", ""message"": ""Hey haha""}, {""speaker"": ""A"", ""message"": ""Not really haha""}]",2031.9,6,5,4,2.9,4,shallow
C0013,U189,U106,"[{""speaker"": ""A"", ""message"": ""Do you usually go to wellness events?""}, {""speaker"": ""B"", ""message"": ""Mostly journaling, breathwork, and trying to be more present.""}, {""speaker"": ""A"", ""message"": ""I feel like I\u2019ve been searching for deeper connection.""}, {""speaker"": ""B"", ""message"": ""Mostly journaling, breathwork, and trying to be more present.""}, {""speaker"": ""A"", ""message"": ""That makes sense. A lot of social spaces feel pretty surface-level.""}, {""speaker"": ""B"", ""message"": ""Mostly journaling, breathwork, and trying to be more present.""}, {""speaker"": ""A"", ""message"": ""Mostly journaling, breathwork, and trying to be more present.""}, {""speaker"": ""B"", ""message"": ""Honestly I\u2019ve been craving more grounded community lately.""}, {""speaker"": ""A"", ""message"": ""I\u2019m trying to spend less time online and more time in real community.""}, {""speaker"": ""B"", ""message"": ""Yeah""}, {""speaker"": ""A"", ""message"": ""Cool""}]",378.5,6,5,11,7.8,4,ready_for_event
C0014,U135,U184,"[{""speaker"": ""A"", ""message"": ""Do you usually go to wellness events?""}, {""speaker"": ""B"", ""message"": ""I got into meditation after feeling pretty burned out last year.""}, {""speaker"": ""A"", ""message"": ""I got into meditation after feeling pretty burned out last year.""}, {""speaker"": ""B"", ""message"": ""Yeah""}, {""speaker"": ""A"", ""message"": ""For sure""}, {""speaker"": ""B"", ""message"": ""Yeah, I\u2019ve been wanting something that feels more intentional than just another meetup.""}, {""speaker"": ""A"", ""message"": ""Totally""}, {""speaker"": ""B"", ""message"": ""Mostly journaling, breathwork, and trying to be more present.""}, {""speaker"": ""A"", ""message"": ""Mostly journaling, breathwork, and trying to be more present.""}, {""speaker"": ""B"", ""message"": ""Mostly journaling, breathwork, and trying to be more present.""}, {""speaker"": ""A"", ""message"": ""Mostly journaling, breathwork, and trying to be more present.""}, {""speaker"": ""B"", ""message"": ""Yeah""}, {""speaker"": ""A"", ""message"": ""Haha same""}, {""speaker"": ""B"", ""message"": ""Haha same""}, {""speaker"": ""A"", ""message"": ""That\u2019s beautiful. I\u2019ve been realizing how much environment affects my practice.""}, {""speaker"": ""B"", ""message"": ""Love that""}, {""speaker"": ""A"", ""message"": ""Same. I think finding aligned community is the hardest part.""}]",165.5,9,8,1,6.5,15,healthy
C0015,U137,U063,"[{""speaker"": ""B"", ""message"": ""Have you been exploring spirituality for a while?""}, {""speaker"": ""A"", ""message"": ""Mostly curious.""}, {""speaker"": ""B"", ""message"": ""I\u2019m trying to spend less time online and more time in real community.""}, {""speaker"": ""B"", ""message"": ""Mostly journaling, breathwork, and trying to be more present.""}, {""speaker"": ""B"", ""message"": ""I\u2019ve been wanting to meet more intentional people honestly.""}, {""speaker"": ""B"", ""message"": ""I\u2019m trying to spend less time online and more time in real community.""}, {""speaker"": ""B"", ""message"": ""Mostly journaling, breathwork, and trying to be more present.""}, {""speaker"": ""B"", ""message"": ""Mostly journaling, breathwork, and trying to be more present.""}, {""speaker"": ""B"", ""message"": ""I\u2019ve been wanting to meet people who care about inner growth.""}, {""speaker"": ""B"", ""message"": ""I\u2019ve been wanting to meet more intentional people honestly.""}, {""speaker"": ""B"", ""message"": ""I relate to that. It\u2019s easy to practice alone, but harder to stay consistent without support.""}, {""speaker"": ""B"", ""message"": ""I relate to that. It\u2019s easy to practice alone, but harder to stay consistent without support.""}]",536.8,1,11,14,10.3,12,one_sided
C0016,U155,U030,"[{""speaker"": ""A"", ""message"": ""Are you looking more for events, community, or personal practice right now?""}, {""speaker"": ""B"", ""message"": ""Mostly journaling, breathwork, and trying to be more present.""}, {""speaker"": ""A"", ""message"": ""Makes sense""}, {""speaker"": ""B"", ""message"": ""Totally""}, {""speaker"": ""A"", ""message"": ""Yeah""}, {""speaker"": ""B"", ""message"": ""I\u2019m trying to spend less time online and more time in real community.""}, {""speaker"": ""A"", ""message"": ""That makes sense. A lot of social spaces feel pretty surface-level.""}, {""speaker"": ""B"", ""message"": ""I relate to that. It\u2019s easy to practice alone, but harder to stay consistent without support.""}, {""speaker"": ""A"", ""message"": ""Yeah, I\u2019ve been wanting something that feels more intentional than just another meetup.""}, {""speaker"": ""B"", ""message"": ""That\u2019s beautiful. I\u2019ve been realizing how much environment affects my practice.""}, {""speaker"": ""A"", ""message"": ""For sure""}, {""speaker"": ""B"", ""message"": ""Love that""}, {""speaker"": ""A"", ""message"": ""I\u2019ve been wanting to meet people who care about inner growth.""}]",160.2,7,6,10,8.0,12,ready_for_event
C0017,U089,U110,"[{""speaker"": ""A"", ""message"": ""What kind of practices are helping you lately?""}, {""speaker"": ""B"", ""message"": ""I\u2019m trying to spend less time online and more time in real community.""}, {""speaker"": ""A"", ""message"": ""Yeah, I\u2019ve been wanting something that feels more intentional than just another meetup.""}, {""speaker"": ""B"", ""message"": ""Mostly journaling, breathwork, and trying to be more present.""}, {""speaker"": ""A"", ""message"": ""Makes sense""}, {""speaker"": ""B"", ""message"": ""I\u2019ve been wanting to meet people who care about inner growth.""}, {""speaker"": ""A"", ""message"": ""Makes sense""}, {""speaker"": ""B"", ""message"": ""Mostly journaling, breathwork, and trying to be more present.""}, {""speaker"": ""A"", ""message"": ""I feel like I\u2019ve been searching for deeper connection.""}, {""speaker"": ""B"", ""message"": ""Mostly journaling, breathwork, and trying to be more present.""}, {""speaker"": ""A"", ""message"": ""Mostly journaling, breathwork, and trying to be more present.""}, {""speaker"": ""B"", ""message"": ""Yeah""}, {""speaker"": ""A"", ""message"": ""Makes sense""}, {""speaker"": ""B"", ""message"": ""Makes sense""}, {""speaker"": ""A"", ""message"": ""I\u2019ve been wanting to meet people who care about inner growth.""}]",159.4,8,7,9,7.3,6,ready_for_event
C0018,U173,U181,"[{""speaker"": ""A"", ""message"": ""Are you looking more for events, community, or personal practice right now?""}, {""speaker"": ""B"", ""message"": ""I\u2019ve been wanting to meet people who care about inner growth.""}, {""speaker"": ""A"", ""message"": ""Love that""}, {""speaker"": ""B"", ""message"": ""Yeah""}, {""speaker"": ""A"", ""message"": ""Yeah""}, {""speaker"": ""B"", ""message"": ""Haha same""}, {""speaker"": ""A"", ""message"": ""I feel like I\u2019ve been searching for deeper connection.""}, {""speaker"": ""B"", ""message"": ""I relate to that. It\u2019s easy to practice alone, but harder to stay consistent without support.""}, {""speaker"": ""A"", ""message"": ""Haha same""}, {""speaker"": ""B"", ""message"": ""Makes sense""}, {""speaker"": ""A"", ""message"": ""Yeah""}, {""speaker"": ""B"", ""message"": ""Honestly I\u2019ve been craving more grounded community lately.""}, {""speaker"": ""A"", ""message"": ""That makes sense. A lot of social spaces feel pretty surface-level.""}, {""speaker"": ""B"", ""message"": ""That\u2019s beautiful. I\u2019ve been realizing how much environment affects my practice.""}, {""speaker"": ""A"", ""message"": ""Same. I think finding aligned community is the hardest part.""}]",251.1,8,7,11,6.6,8,ready_for_event
C0019,U040,U049,"[{""speaker"": ""A"", ""message"": ""Are you looking more for events, community, or personal practice right now?""}, {""speaker"": ""B"", ""message"": ""I\u2019ve been wanting to meet people who care about inner growth.""}, {""speaker"": ""A"", ""message"": ""That makes sense. A lot of social spaces feel pretty surface-level.""}, {""speaker"": ""B"", ""message"": ""Yeah I\u2019ve been feeling that too. It would be nice to meet people in person.""}, {""speaker"": ""A"", ""message"": ""Would you ever want to go to a kirtan together sometime?""}, {""speaker"": ""B"", ""message"": ""Wait that actually sounds amazing.""}, {""speaker"": ""A"", ""message"": ""You should come if you\u2019re free.""}, {""speaker"": ""B"", ""message"": ""I\u2019d definitely be down.""}, {""speaker"": ""A"", ""message"": ""Amazing, I\u2019ll send you the details \ud83d\ude4f""}, {""speaker"": ""B"", ""message"": ""Perfect, thank you :)""}, {""speaker"": ""A"", ""message"": ""I think it could be a nice low-pressure way to meet.""}, {""speaker"": ""B"", ""message"": ""Agreed. I like that it\u2019s centered around practice, not just chatting.""}]",6.6,6,6,13,9.0,9,ready_for_event
C0020,U066,U072,"[{""speaker"": ""A"", ""message"": ""Have you been exploring spirituality for a while?""}, {""speaker"": ""B"", ""message"": ""Mostly journaling, breathwork, and trying to be more present.""}, {""speaker"": ""A"", ""message"": ""I relate to that. It\u2019s easy to practice alone, but harder to stay consistent without support.""}, {""speaker"": ""B"", ""message"": ""Yeah I\u2019ve been feeling that too. It would be nice to meet people in person.""}, {""speaker"": ""A"", ""message"": ""There\u2019s a meditation event next Thursday that looks really grounding.""}, {""speaker"": ""B"", ""message"": ""Wait that actually sounds amazing.""}, {""speaker"": ""A"", ""message"": ""You should come if you\u2019re free.""}, {""speaker"": ""B"", ""message"": ""I\u2019d definitely be down.""}, {""speaker"": ""A"", ""message"": ""Amazing, I\u2019ll send you the details \ud83d\ude4f""}, {""speaker"": ""B"", ""message"": ""Perfect, thank you :)""}]",11.2,5,5,8,8.4,11,ready_for_event
C0021,U175,U094,"[{""speaker"": ""A"", ""message"": ""Are you looking more for events, community, or personal practice right now?""}, {""speaker"": ""B"", ""message"": ""I feel like I\u2019ve been searching for deeper connection.""}, {""speaker"": ""A"", ""message"": ""I feel like I\u2019ve been searching for deeper connection.""}, {""speaker"": ""B"", ""message"": ""I feel like I\u2019ve been searching for deeper connection.""}, {""speaker"": ""A"", ""message"": ""Same. I think finding aligned community is the hardest part.""}, {""speaker"": ""B"", ""message"": ""Love that""}, {""speaker"": ""A"", ""message"": ""Totally""}, {""speaker"": ""B"", ""message"": ""I feel like I\u2019ve been searching for deeper connection.""}, {""speaker"": ""A"", ""message"": ""I\u2019m trying to spend less time online and more time in real community.""}, {""speaker"": ""B"", ""message"": ""I relate to that. It\u2019s easy to practice alone, but harder to stay consistent without support.""}, {""speaker"": ""A"", ""message"": ""Cool""}]",297.5,6,5,4,8.3,3,healthy
C0022,U055,U109,"[{""speaker"": ""A"", ""message"": ""What brought you to Sangha?""}, {""speaker"": ""B"", ""message"": ""I\u2019m trying to spend less time online and more time in real community.""}, {""speaker"": ""A"", ""message"": ""Haha same""}, {""speaker"": ""B"", ""message"": ""Yeah, I\u2019ve been wanting something that feels more intentional than just another meetup.""}, {""speaker"": ""A"", ""message"": ""Same. I think finding aligned community is the hardest part.""}, {""speaker"": ""B"", ""message"": ""Yeah""}, {""speaker"": ""A"", ""message"": ""Totally""}, {""speaker"": ""B"", ""message"": ""Yeah""}, {""speaker"": ""A"", ""message"": ""I relate to that. It\u2019s easy to practice alone, but harder to stay consistent without support.""}, {""speaker"": ""B"", ""message"": ""Makes sense""}, {""speaker"": ""A"", ""message"": ""Honestly I\u2019ve been craving more grounded community lately.""}]",478.5,6,5,9,6.5,14,ready_for_event
C0023,U024,U122,"[{""speaker"": ""A"", ""message"": ""Do you usually go to wellness events?""}, {""speaker"": ""B"", ""message"": ""Mostly journaling, breathwork, and trying to be more present.""}, {""speaker"": ""A"", ""message"": ""Same. I think finding aligned community is the hardest part.""}, {""speaker"": ""B"", ""message"": ""Yeah I\u2019ve been feeling that too. It would be nice to meet people in person.""}, {""speaker"": ""A"", ""message"": ""I saw a breathwork class nearby that feels pretty aligned.""}, {""speaker"": ""B"", ""message"": ""Wait that actually sounds amazing.""}, {""speaker"": ""A"", ""message"": ""You should come if you\u2019re free.""}, {""speaker"": ""B"", ""message"": ""I\u2019d definitely be down.""}, {""speaker"": ""A"", ""message"": ""Amazing, I\u2019ll send you the details \ud83d\ude4f""}, {""speaker"": ""B"", ""message"": ""Perfect, thank you :)""}]",115.5,5,5,14,7.7,1,ready_for_event
C0024,U153,U158,"[{""speaker"": ""A"", ""message"": ""What brought you to Sangha?""}, {""speaker"": ""B"", ""message"": ""I\u2019ve been wanting to meet people who care about inner growth.""}, {""speaker"": ""A"", ""message"": ""Cool""}, {""speaker"": ""B"", ""message"": ""That\u2019s beautiful. I\u2019ve been realizing how much environment affects my practice.""}, {""speaker"": ""A"", ""message"": ""Totally""}, {""speaker"": ""B"", ""message"": ""I got into meditation after feeling pretty burned out last year.""}, {""speaker"": ""A"", ""message"": ""Mostly journaling, breathwork, and trying to be more present.""}, {""speaker"": ""B"", ""message"": ""Makes sense""}, {""speaker"": ""A"", ""message"": ""I\u2019ve been wanting to meet people who care about inner growth.""}, {""speaker"": ""B"", ""message"": ""That\u2019s beautiful. I\u2019ve been realizing how much environment affects my practice.""}, {""speaker"": ""A"", ""message"": ""Cool""}, {""speaker"": ""B"", ""message"": ""Makes sense""}, {""speaker"": ""A"", ""message"": ""I\u2019m trying to spend less time online and more time in real community.""}, {""speaker"": ""B"", ""message"": ""I\u2019ve been wanting to meet people who care about inner growth.""}]",450.8,7,7,5,7.1,19,ready_for_event
C0025,U051,U012,"[{""speaker"": ""A"", ""message"": ""Do you usually go to wellness events?""}, {""speaker"": ""B"", ""message"": ""Trying to get back into meditation.""}]",1791.2,1,1,5,6.5,31,stalled
C0026,U187,U072,"[{""speaker"": ""A"", ""message"": ""Have you been exploring spirituality for a while?""}, {""speaker"": ""B"", ""message"": ""Mostly journaling, breathwork, and trying to be more present.""}, {""speaker"": ""A"", ""message"": ""Makes sense""}, {""speaker"": ""B"", ""message"": ""Yeah, I\u2019ve been wanting something that feels more intentional than just another meetup.""}, {""speaker"": ""A"", ""message"": ""Mostly journaling, breathwork, and trying to be more present.""}, {""speaker"": ""B"", ""message"": ""Honestly I\u2019ve been craving more grounded community lately.""}, {""speaker"": ""A"", ""message"": ""Totally""}, {""speaker"": ""B"", ""message"": ""I\u2019ve been wanting to meet people who care about inner growth.""}, {""speaker"": ""A"", ""message"": ""I\u2019ve been wanting to meet people who care about inner growth.""}, {""speaker"": ""B"", ""message"": ""For sure""}, {""speaker"": ""A"", ""message"": ""I\u2019m trying to spend less time online and more time in real community.""}, {""speaker"": ""B"", ""message"": ""I\u2019m trying to spend less time online and more time in real community.""}]",370.0,6,6,3,8.3,14,healthy
C0027,U006,U063,"[{""speaker"": ""A"", ""message"": ""Do you usually go to wellness events?""}, {""speaker"": ""B"", ""message"": ""Mostly journaling, breathwork, and trying to be more present.""}, {""speaker"": ""A"", ""message"": ""That makes sense. A lot of social spaces feel pretty surface-level.""}, {""speaker"": ""B"", ""message"": ""That makes sense. A lot of social spaces feel pretty surface-level.""}, {""speaker"": ""A"", ""message"": ""Love that""}, {""speaker"": ""B"", ""message"": ""I feel like I\u2019ve been searching for deeper connection.""}, {""speaker"": ""A"", ""message"": ""I\u2019ve been wanting to meet people who care about inner growth.""}, {""speaker"": ""B"", ""message"": ""Same. I think finding aligned community is the hardest part.""}, {""speaker"": ""A"", ""message"": ""I\u2019m trying to spend less time online and more time in real community.""}, {""speaker"": ""B"", ""message"": ""That\u2019s beautiful. I\u2019ve been realizing how much environment affects my practice.""}, {""speaker"": ""A"", ""message"": ""Love that""}, {""speaker"": ""B"", ""message"": ""Mostly journaling, breathwork, and trying to be more present.""}, {""speaker"": ""A"", ""message"": ""I feel like I\u2019ve been searching for deeper connection.""}, {""speaker"": ""B"", ""message"": ""Makes sense""}, {""speaker"": ""A"", ""message"": ""That makes sense. A lot of social spaces feel pretty surface-level.""}, {""speaker"": ""B"", ""message"": ""I feel like I\u2019ve been searching for deeper connection.""}]",168.3,8,8,5,8.5,17,ready_for_event
C0028,U128,U052,"[{""speaker"": ""A"", ""message"": ""What kind of practices are helping you lately?""}, {""speaker"": ""B"", ""message"": ""Trying to get back into meditation.""}, {""speaker"": ""A"", ""message"": ""What kind of practices are you into?""}, {""speaker"": ""B"", ""message"": ""I\u2019ve had a busy week.""}, {""speaker"": ""A"", ""message"": ""I\u2019ve had a busy week.""}]",1829.2,3,2,10,6.2,153,stalled
C0029,U140,U101,"[{""speaker"": ""A"", ""message"": ""What brought you to Sangha?""}, {""speaker"": ""B"", ""message"": ""Mostly journaling, breathwork, and trying to be more present.""}, {""speaker"": ""A"", ""message"": ""I got into meditation after feeling pretty burned out last year.""}, {""speaker"": ""B"", ""message"": ""Yeah, I\u2019ve been wanting something that feels more intentional than just another meetup.""}, {""speaker"": ""A"", ""message"": ""Honestly I\u2019ve been craving more grounded community lately.""}, {""speaker"": ""B"", ""message"": ""I feel like I\u2019ve been searching for deeper connection.""}, {""speaker"": ""A"", ""message"": ""Same. I think finding aligned community is the hardest part.""}, {""speaker"": ""B"", ""message"": ""Love that""}, {""speaker"": ""A"", ""message"": ""For sure""}, {""speaker"": ""B"", ""message"": ""Mostly journaling, breathwork, and trying to be more present.""}]",125.5,5,5,2,7.8,11,healthy
C0030,U112,U168,"[{""speaker"": ""A"", ""message"": ""Do you usually go to wellness events?""}, {""speaker"": ""B"", ""message"": ""Trying to get back into meditation.""}, {""speaker"": ""A"", ""message"": ""Yeah I relate to that.""}, {""speaker"": ""B"", ""message"": ""Sorry just saw this.""}, {""speaker"": ""A"", ""message"": ""That makes sense.""}, {""speaker"": ""B"", ""message"": ""What kind of practices are you into?""}, {""speaker"": ""A"", ""message"": ""Yeah I relate to that.""}]",5398.5,4,3,8,5.3,159,stalled
C0031,U002,U008,"[{""speaker"": ""A"", ""message"": ""Have you been exploring spirituality for a while?""}, {""speaker"": ""B"", ""message"": ""Mostly journaling, breathwork, and trying to be more present.""}, {""speaker"": ""A"", ""message"": ""I\u2019ve been wanting to meet people who care about inner growth.""}, {""speaker"": ""B"", ""message"": ""Yeah, I\u2019ve been wanting something that feels more intentional than just another meetup.""}, {""speaker"": ""A"", ""message"": ""I relate to that. It\u2019s easy to practice alone, but harder to stay consistent without support.""}, {""speaker"": ""B"", ""message"": ""I feel like I\u2019ve been searching for deeper connection.""}, {""speaker"": ""A"", ""message"": ""I relate to that. It\u2019s easy to practice alone, but harder to stay consistent without support.""}, {""speaker"": ""B"", ""message"": ""That makes sense. A lot of social spaces feel pretty surface-level.""}, {""speaker"": ""A"", ""message"": ""I feel like I\u2019ve been searching for deeper connection.""}, {""speaker"": ""B"", ""message"": ""Totally""}, {""speaker"": ""A"", ""message"": ""Honestly I\u2019ve been craving more grounded community lately.""}, {""speaker"": ""B"", ""message"": ""I relate to that. It\u2019s easy to practice alone, but harder to stay consistent without support.""}]",193.4,6,6,2,10.6,6,healthy
